"","isco08","isco08_l2","cno70","isco08_desc","cno70_desc","major_group","skill_level"
"387","8324",83,98,NA,"98 Drivers of transport vehicles, taxi drivers, drivers","8. Plant and Machine Operators and Assemblers","Medium"
"388","8331",83,62,"Bus and Tram Drivers","62 Agricultural workers in general, farm laborers, tractor drivers, cotton pickers, milkers, pig farmers, rabbit farmers, poultry farmers, agriculturists, poultry farmers, gardeners, beekeepers","8. Plant and Machine Operators and Assemblers","Medium"
"389","8332",83,97,"Heavy Truck and Lorry Drivers","97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators","8. Plant and Machine Operators and Assemblers","Medium"
"390","8333",83,97,NA,"97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators","8. Plant and Machine Operators and Assemblers","Medium"
"391","8334",83,97,NA,"97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators","8. Plant and Machine Operators and Assemblers","Medium"
"392","8340",83,98,NA,"98 Drivers of transport vehicles, taxi drivers, drivers","8. Plant and Machine Operators and Assemblers","Medium"
"393","8400",84,94,NA,"94 Manufacturing workers, builders, and tuners of musical instruments weave baskets, and make furniture from cane, reed or wicker, brushes, and brooms. Operator in the elaboration of precast concrete, matches, linoleum, pencils, artificial teeth, film, and photographic paper, makes dolls and rag toys, buttons, rubber stamps, manufactures blinds, taxidermist",NA,NA
"394","9110",91,45,NA,"45 Vendors, street vendors, home delivery, lottery and newspaper vendors, merchandisers",NA,NA
"395","9112",91,45,"Cleaners and Helpers in Offices, Hotels and Other Establishments","45 Vendors, street vendors, home delivery, lottery and newspaper vendors, merchandisers","9. Elementary Occupations","Low"
"396","9113",91,45,NA,"45 Vendors, street vendors, home delivery, lottery and newspaper vendors, merchandisers","5. Services and Sales Workers","Medium"
"397","9120",91,59,NA,"59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","9. Elementary Occupations","Low"
"398","9130",91,54,NA,"54 Maid, nanny, escort, waitress",NA,NA
"399","9132",91,54,NA,"54 Maid, nanny, escort, waitress","9. Elementary Occupations","Low"
"400","9132",91,55,NA,"55 Building guardian, doorman, sacristan, cleaner, window cleaner, chimney sweep","9. Elementary Occupations","Low"
"401","9132",91,53,NA,"53 Cooks, waiters, bartenders, and servers","9. Elementary Occupations","Low"
"402","9140",91,55,NA,"55 Building guardian, doorman, sacristan, cleaner, window cleaner, chimney sweep",NA,NA
"403","9141",91,55,NA,"55 Building guardian, doorman, sacristan, cleaner, window cleaner, chimney sweep","5. Services and Sales Workers","Medium"
"404","9142",91,63,NA,"63 Tree feller, forest nurseryman, ranger","9. Elementary Occupations","Low"
"405","9142",91,55,NA,"55 Building guardian, doorman, sacristan, cleaner, window cleaner, chimney sweep","9. Elementary Occupations","Low"
"406","9151",91,37,NA,"37 Postmen and messengers","9. Elementary Occupations","Low"
"407","9151",91,59,NA,"59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","9. Elementary Occupations","Low"
"408","9151",91,97,NA,"97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators","9. Elementary Occupations","Low"
"409","9152",91,54,NA,"54 Maid, nanny, escort, waitress","5. Services and Sales Workers","Medium"
"410","9152",91,59,NA,"59 Tour guides, tourist police, undertaker, embalmer, casino bet taker, gate keepers, airline stewardesses, pharmacy assistant, nurses, veterinarian, sex worker","9. Elementary Occupations","Low"
"411","9152",91,58,NA,"58 Firefighters, police officers, public and private detective, guards, prison guard","9. Elementary Occupations","Low"
"412","9153",91,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","9. Elementary Occupations","Low"
"413","9161",91,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers","9. Elementary Occupations","Low"
"414","9162",91,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers","9. Elementary Occupations","Low"
"415","9200",92,62,NA,"62 Agricultural workers in general, farm laborers, tractor drivers, cotton pickers, milkers, pig farmers, rabbit farmers, poultry farmers, agriculturists, poultry farmers, gardeners, beekeepers",NA,NA
"416","9211",92,62,"Crop Farm Labourers","62 Agricultural workers in general, farm laborers, tractor drivers, cotton pickers, milkers, pig farmers, rabbit farmers, poultry farmers, agriculturists, poultry farmers, gardeners, beekeepers","9. Elementary Occupations","Low"
"417","9211",92,61,"Crop Farm Labourers","61 Farmers and ranchers","9. Elementary Occupations","Low"
"418","9212",92,63,"Livestock Farm Labourers","63 Tree feller, forest nurseryman, ranger","9. Elementary Occupations","Low"
"419","9213",92,64,"Mixed Crop and Livestock Farm Labourers","64 River and sea fishermen, fish farmers, trappers","9. Elementary Occupations","Low"
"420","9300",93,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers",NA,NA
"421","9312",93,99,"Civil Engineering Labourers","99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers","9. Elementary Occupations","Low"
"422","9313",93,95,"Building Construction Labourers","95 Bricklayers, stucco workers, glass workers, masons, roofers, carpenters","9. Elementary Occupations","Low"
"423","9320",93,99,NA,"99 Unclassified laborers, garbage collectors, shoeshine boys, tire iron, street, garden, and park sweeper, restaurant dishwashers",NA,NA
"424","9322",93,97,NA,"97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators","9. Elementary Occupations","Low"
"425","9330",93,97,NA,"97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators",NA,NA
"426","9331",93,98,"Hand and Pedal Vehicle Drivers","98 Drivers of transport vehicles, taxi drivers, drivers","9. Elementary Occupations","Low"
"427","9332",93,98,"Drivers of Animal-drawn Vehicles and Machinery","98 Drivers of transport vehicles, taxi drivers, drivers","9. Elementary Occupations","Low"
"428","9333",93,97,"Freight Handlers","97 Handling of merchandise and earthworks – Stevedores, loaders, packers, cable splicers, crane drivers, heavy machinery operators","9. Elementary Occupations","Low"
"429","9333",93,41,"Freight Handlers","41 Trader, owner","9. Elementary Occupations","Low"
"430","9333",93,98,"Freight Handlers","98 Drivers of transport vehicles, taxi drivers, drivers","9. Elementary Occupations","Low"
